id;name;creation_date;description
1;e Optimization;2022-07-09T10:21:00;Communications Plástico Auto
2;Saúde ubiquitous;2022-07-09T13:50:01;Teclado up
3;online;2022-07-09T21:50:57;Beleza eyeballs
4;applications;2022-07-09T11:04:29;action-items
5;Down-sized ADP;2022-07-10T00:34:54;Incrível
6;Somoni card;2022-07-09T19:36:13;Loan synthesize
7;Camisa;2022-07-09T17:39:34;firewall generate Operations
8;Money Incrível Infrastructure;2022-07-09T07:28:08;Incrível
9;Inteligente Optimization SDR;2022-07-09T23:31:57;Expanded
10;synergies;2022-07-09T15:36:11;Ilhas program
